row_id,decision,resolution_status,resolution_basis,resolved_state_json,queue,blocking,reason,league,club,club_tm_id,player,player_tm_id,dob,fm_id,fifa_id,native_club_id,target_club_id,identity_method,source,source_sha256,snapshot_date,technical_action,technical_conflict_code,technical_conflict
FM27-a0a2e006fffa142c9ccfa557,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_NATIVE_IDENTITY_REQUIRED,"The 2026/27 roster source confirms this player identity (name/DOB) at the target club, but no unique Native08 identity exists. This is now a local technical identity/creation task: bridge to an existing native identity if possible, otherwise create using the existing guarded creation pipeline. Never invent an EA/FIFA ID.",,PLAYER_CREATION,YES,Two-attempt creation triage remains blocked: IDENTITY_AMBIGUITY_DUPLICATE_REVIEW_LEAD,ENG1,Chelsea,631,Gabriel Slonina,656316,2004-05-15,,,,917513,TWO_ATTEMPT_CREATION_TRIAGE,https://www.transfermarkt.de/fc-chelsea/kader/verein/631/saison_id/2026/plus/1,654f4cd4c0ce8c73da8a919c8a23c05e00fc473650df3999c3441d42c128ae64,2026-09-12,CREATE_OR_BRIDGE_IDENTITY,CREATION_NATIVE_FIELDS_INCOMPLETE,No safe local identity and no complete supplied native creation fields.
FM27-ac6a5dded7107d385cc1a968,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_NATIVE_IDENTITY_REQUIRED,"The 2026/27 roster source confirms this player identity (name/DOB) at the target club, but no unique Native08 identity exists. This is now a local technical identity/creation task: bridge to an existing native identity if possible, otherwise create using the existing guarded creation pipeline. Never invent an EA/FIFA ID.",,PLAYER_CREATION,YES,No unique Native08 identity by exact DOB and normalized full name,POR1,Moreirense FC,979,Alexandre Parsemain,811432,2003-05-27,,,,2490377,MISSING_FROM_FM,https://www.transfermarkt.de/moreirense-fc/kader/verein/979/saison_id/2026/plus/1,9aa16aff197b371e36892b5321c0c1db769f09802a8338c111eb56304e7798bc,2026-09-12,CREATE_OR_BRIDGE_IDENTITY,CREATION_NATIVE_FIELDS_INCOMPLETE,No safe local identity and no complete supplied native creation fields.
FM27-da712647a0c02462a94c5072,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_GUARD_REPAIR_REQUIRED,The project already marks the timeline row as confirmed; the failure is an exact-native/source/chronology guard problem. Treat the football destination as resolved and repair only the local technical guard/application path.,,TIMELINE_RESOLUTION,YES,"Confirmed timeline row failed exact native, source, or loan chronology guards",CZE1,FK Mlada Boleslav,5546,Adam Kadlec,889437,2003-07-06,296798,0,786453,786434,REVIEWED_TIMELINE,https://www.transfermarkt.de/fk-mlada-boleslav/kader/verein/5546/saison_id/2026/plus/1,5a8600e42926651e56482ac4dac8c6e5e0e3e1754eacf142566e811f0e9bca53,2026-09-12,APPLY_CONFIRMED_TIMELINE_WITH_GUARD_REPAIR,LOAN_END_AFTER_OWNER_CONTRACT,Local confirmed timeline says loan end 2029-06-30 after owner contract 2027-06-30; exact loan end cannot be synthesized safely.
FM27-0d4ee56383e851028668f34a,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_GUARD_REPAIR_REQUIRED,The project already marks the timeline row as confirmed; the failure is an exact-native/source/chronology guard problem. Treat the football destination as resolved and repair only the local technical guard/application path.,,TIMELINE_RESOLUTION,YES,"Confirmed timeline row failed exact native, source, or loan chronology guards",ENG1,Hull City,3008,Robinio Vaz,1131161,2007-02-17,283989,76410,1179662,917532,REVIEWED_TIMELINE,https://www.transfermarkt.de/hull-city/kader/verein/3008/saison_id/2026/plus/1,95d27e3b77eef2306101f2b6eab92a02d56308a31e0d34299be2fa82dcf331db,2026-09-12,APPLY_CONFIRMED_TIMELINE_WITH_GUARD_REPAIR,LOAN_END_AFTER_OWNER_CONTRACT,Local confirmed timeline says loan end 2030-06-30 after owner contract 2027-06-30; exact loan end cannot be synthesized safely.
FM27-114d5c4b67282886ff11b937,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_GUARD_REPAIR_REQUIRED,The project already marks the timeline row as confirmed; the failure is an exact-native/source/chronology guard problem. Treat the football destination as resolved and repair only the local technical guard/application path.,,TIMELINE_RESOLUTION,YES,"Confirmed timeline row failed exact native, source, or loan chronology guards",ESP1,UD Levante,3368,Petar Ratkov,846254,2003-08-18,264991,275978,262150,2949128,REVIEWED_TIMELINE,https://www.transfermarkt.de/ud-levante/kader/verein/3368/saison_id/2026/plus/1,53cacbbeea38cb2a390a7eeec2d36d336b94cb75602793ff1a9bacce28891775,2026-09-12,APPLY_CONFIRMED_TIMELINE_WITH_GUARD_REPAIR,LOAN_END_AFTER_OWNER_CONTRACT,Local confirmed timeline says loan end 2030-06-30 after owner contract 2027-06-30; exact loan end cannot be synthesized safely.
FM27-66275737cfb962f84258643b,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_GUARD_REPAIR_REQUIRED,The project already marks the timeline row as confirmed; the failure is an exact-native/source/chronology guard problem. Treat the football destination as resolved and repair only the local technical guard/application path.,,TIMELINE_RESOLUTION,YES,"Confirmed timeline row failed exact native, source, or loan chronology guards",ESP1,Racing Santander,630,Yassir Zabiri,1153105,2005-02-23,287701,74698,2490398,2949137,REVIEWED_TIMELINE,https://www.transfermarkt.de/racing-santander/kader/verein/630/saison_id/2026/plus/1,18a40c3ef461fb12859ab644f10535935a6e0f3b45aa680347aab5a3a4eda60f,2026-09-12,APPLY_CONFIRMED_TIMELINE_WITH_GUARD_REPAIR,LOAN_END_AFTER_OWNER_CONTRACT,Local confirmed timeline says loan end 2029-06-30 after owner contract 2027-06-30; exact loan end cannot be synthesized safely.
FM27-7aaf023765f86b01a6e71a75,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_GUARD_REPAIR_REQUIRED,The project already marks the timeline row as confirmed; the failure is an exact-native/source/chronology guard problem. Treat the football destination as resolved and repair only the local technical guard/application path.,,TIMELINE_RESOLUTION,YES,"Confirmed timeline row failed exact native, source, or loan chronology guards",FRA1,Stade Brest 29,3911,Noah Edjouma,1078326,2005-10-04,291091,278207,1179657,1179685,REVIEWED_TIMELINE,https://www.transfermarkt.de/stade-brest-29/kader/verein/3911/saison_id/2026/plus/1,52be2d44f637f0ec7c544f95926b9d75ac6bce6bd86bfa9e4cb57ec3bf957bda,2026-09-12,APPLY_CONFIRMED_TIMELINE_WITH_GUARD_REPAIR,LOAN_END_AFTER_OWNER_CONTRACT,Local confirmed timeline says loan end 2030-06-30 after owner contract 2027-06-30; exact loan end cannot be synthesized safely.
FM27-5fa3faff92231634c45f8433,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_GUARD_REPAIR_REQUIRED,The project already marks the timeline row as confirmed; the failure is an exact-native/source/chronology guard problem. Treat the football destination as resolved and repair only the local technical guard/application path.,,TIMELINE_RESOLUTION,YES,"Confirmed timeline row failed exact native, source, or loan chronology guards",FRA1,FC Lorient,1158,Souleymane Faye,666971,2003-02-08,285159,79547,2949245,1179673,REVIEWED_TIMELINE,https://www.transfermarkt.de/fc-lorient/kader/verein/1158/saison_id/2026/plus/1,8985aded9368fca7ce5d7744ed4210e43a27554002fd29e32ed7f2454f7c3087,2026-09-12,APPLY_CONFIRMED_TIMELINE_WITH_GUARD_REPAIR,LOAN_END_AFTER_OWNER_CONTRACT,Local confirmed timeline says loan end 2030-06-30 after owner contract 2027-06-30; exact loan end cannot be synthesized safely.
FM27-c8937c28b9cf68fd70016b4e,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_GUARD_REPAIR_REQUIRED,The project already marks the timeline row as confirmed; the failure is an exact-native/source/chronology guard problem. Treat the football destination as resolved and repair only the local technical guard/application path.,,TIMELINE_RESOLUTION,YES,"Confirmed timeline row failed exact native, source, or loan chronology guards",ITA1,Cagliari Calcio,1390,Yanis Massolin,915849,2002-09-20,292630,270341,1769497,1769480,REVIEWED_TIMELINE,https://www.transfermarkt.de/cagliari-calcio/kader/verein/1390/saison_id/2026/plus/1,4d01f720bf6b2fb484bfc759a9f95eef9ef2c8d8f167551e1c287b989aa09415,2026-09-12,APPLY_CONFIRMED_TIMELINE_WITH_GUARD_REPAIR,LOAN_END_AFTER_OWNER_CONTRACT,Local confirmed timeline says loan end 2030-06-30 after owner contract 2027-06-30; exact loan end cannot be synthesized safely.
FM27-b2da3debeff989bf91717722,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_GUARD_REPAIR_REQUIRED,The project already marks the timeline row as confirmed; the failure is an exact-native/source/chronology guard problem. Treat the football destination as resolved and repair only the local technical guard/application path.,,TIMELINE_RESOLUTION,YES,"Confirmed timeline row failed exact native, source, or loan chronology guards",NED1,SC Telstar,1434,Abdelnour Soualhia,944694,2001-06-27,71183,0,1180103,2228252,REVIEWED_TIMELINE,https://www.transfermarkt.de/sc-telstar/kader/verein/1434/saison_id/2026/plus/1,ae77e5dfbed0657e8ac7db9c5bfa54cdae9a9aa41389f9224cb5b1406e993f05,2026-09-12,APPLY_CONFIRMED_TIMELINE_WITH_GUARD_REPAIR,LOAN_END_AFTER_OWNER_CONTRACT,Local confirmed timeline says loan end 2028-06-30 after owner contract 2027-06-30; exact loan end cannot be synthesized safely.
FM27-5595ddc15451879dc30423ed,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_GUARD_REPAIR_REQUIRED,The project already marks the timeline row as confirmed; the failure is an exact-native/source/chronology guard problem. Treat the football destination as resolved and repair only the local technical guard/application path.,,TIMELINE_RESOLUTION,YES,"Confirmed timeline row failed exact native, source, or loan chronology guards",NED1,ADO Den Haag,1268,Othniël Raterink,997478,2006-04-07,136463,0,2228231,2228225,REVIEWED_TIMELINE,https://www.transfermarkt.de/ado-den-haag/kader/verein/1268/saison_id/2026/plus/1,474b264b880fdda2bb882ff0c9f03309d423ae1b25e36c87a1da879d192c71b0,2026-09-12,APPLY_CONFIRMED_TIMELINE_WITH_GUARD_REPAIR,LOAN_END_AFTER_OWNER_CONTRACT,Local confirmed timeline says loan end 2030-06-30 after owner contract 2027-06-30; exact loan end cannot be synthesized safely.
FM27-0ca773156b68400301c6b3c7,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_GUARD_REPAIR_REQUIRED,The project already marks the timeline row as confirmed; the failure is an exact-native/source/chronology guard problem. Treat the football destination as resolved and repair only the local technical guard/application path.,,TIMELINE_RESOLUTION,YES,"Confirmed timeline row failed exact native, source, or loan chronology guards",NED1,PEC Zwolle,1269,Sydney van Hooijdonk,439292,2000-02-06,294089,244601,2228229,2228260,REVIEWED_TIMELINE,https://www.transfermarkt.de/pec-zwolle/kader/verein/1269/saison_id/2026/plus/1,3c97a5a53b9cc8a25985b1e3597862074bc3460631aa78e06a0c54cb3648771b,2026-09-12,APPLY_CONFIRMED_TIMELINE_WITH_GUARD_REPAIR,LOAN_END_AFTER_OWNER_CONTRACT,Local confirmed timeline says loan end 2028-06-30 after owner contract 2027-06-30; exact loan end cannot be synthesized safely.
FM27-eafc3186bd5ee904c8838d53,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_GUARD_REPAIR_REQUIRED,The project already marks the timeline row as confirmed; the failure is an exact-native/source/chronology guard problem. Treat the football destination as resolved and repair only the local technical guard/application path.,,TIMELINE_RESOLUTION,YES,"Confirmed timeline row failed exact native, source, or loan chronology guards",POR1,Casa Pia AC,3268,Aymen Zouin,1188771,2006-12-29,278138,0,1769481,2494469,REVIEWED_TIMELINE,https://www.transfermarkt.de/casa-pia-ac/kader/verein/3268/saison_id/2026/plus/1,a3e2a5277eff3871e27db7ef969d3905123f5c71aebb08128024f85e9a547b72,2026-09-12,APPLY_CONFIRMED_TIMELINE_WITH_GUARD_REPAIR,LOAN_END_AFTER_OWNER_CONTRACT,Local confirmed timeline says loan end 2031-06-30 after owner contract 2027-06-30; exact loan end cannot be synthesized safely.
FM27-f19fc478f87df76ff5eb2711,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_GUARD_REPAIR_REQUIRED,The project already marks the timeline row as confirmed; the failure is an exact-native/source/chronology guard problem. Treat the football destination as resolved and repair only the local technical guard/application path.,,TIMELINE_RESOLUTION,YES,"Confirmed timeline row failed exact native, source, or loan chronology guards",POR1,CF Estrela Amadora,2431,Jeremy Arévalo,971663,2005-03-19,284614,277742,2949137,2490394,REVIEWED_TIMELINE,https://www.transfermarkt.de/cf-estrela-amadora/kader/verein/2431/saison_id/2026/plus/1,518e3a2e95f5774700d01db49dd50f80d4ccbc790493950412b68c785a7de654,2026-09-12,APPLY_CONFIRMED_TIMELINE_WITH_GUARD_REPAIR,LOAN_END_AFTER_OWNER_CONTRACT,Local confirmed timeline says loan end 2031-06-30 after owner contract 2027-06-30; exact loan end cannot be synthesized safely.
FM27-168354ebdd9bb58a7f14161d,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_GUARD_REPAIR_REQUIRED,The project already marks the timeline row as confirmed; the failure is an exact-native/source/chronology guard problem. Treat the football destination as resolved and repair only the local technical guard/application path.,,TIMELINE_RESOLUTION,YES,"Confirmed timeline row failed exact native, source, or loan chronology guards",POR1,FC Porto,720,Souza,1086258,2006-06-16,222649,0,3538955,2490380,REVIEWED_TIMELINE,https://www.transfermarkt.de/fc-porto/kader/verein/720/saison_id/2026/plus/1,f504c5834791d9c61a831eb02c7ad78c5d5b46e6bbc57108520832c20f2114e6,2026-09-12,APPLY_CONFIRMED_TIMELINE_WITH_GUARD_REPAIR,LOAN_END_AFTER_OWNER_CONTRACT,Local confirmed timeline says loan end 2031-06-30 after owner contract 2027-06-30; exact loan end cannot be synthesized safely.
FM27-09cbab854bc1276777511684,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_TECHNICAL_PLAN_REQUIRED,"External 2026/27 research resolves this as a current loan from native owner club_id 917518 to target club_id 458783, ending 2027-06-30. Use the project's proven active-loan start projection 2026-07-01.",,TRANSFER_TIMELINE,YES,Current loan requires owner and return-date evidence,BEL1,Lommel SK,5026,Isaiah Dada-Mascoll,938400,2006-05-24,262625,0,917518,458783,DOB_NAME,https://www.transfermarkt.de/lommel-sk/kader/verein/5026/saison_id/2026/plus/1,9ff756a9f65fb1a83d753e141d2c89530fd8a9311bba2096f5846c718c381d8a,2026-09-12,SET_CURRENT_LOAN,OWNER_CONTRACT_BEFORE_LOAN_END,"Native owner contract ends 2026-06-30, before resolved loan end 2027-06-30; no replacement contract date supplied."
FM27-c8f32b13e56a786343fa473e,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_TECHNICAL_PLAN_REQUIRED,"External 2026/27 research resolves this as a current loan from native owner club_id 1179782 to target club_id 471041, ending 2027-06-30. Use the project's proven active-loan start projection 2026-07-01.",,TRANSFER_TIMELINE,YES,Current loan requires owner and return-date evidence,BEL1,RAAL La Louvière,3901,Marius Courcoul,1075575,2007-01-01,290118,277484,1179782,471041,DOB_NAME,https://www.transfermarkt.de/raal-la-louviere/kader/verein/3901/saison_id/2026/plus/1,b03ed0837676e8c4516649bb0a99db01be8090988303411744be3df08ec3d3fe,2026-09-12,SET_CURRENT_LOAN,OWNER_CONTRACT_BEFORE_LOAN_END,"Native owner contract ends 2026-06-30, before resolved loan end 2027-06-30; no replacement contract date supplied."
FM27-06a3877101dd8e195b453def,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_TECHNICAL_PLAN_REQUIRED,"External 2026/27 research resolves this as a current loan from native owner club_id 790540 to target club_id 458781, ending 2027-06-30. Use the project's proven active-loan start projection 2026-07-01.",,TRANSFER_TIMELINE,YES,Current loan requires owner and return-date evidence,BEL1,KV Kortrijk,601,Rok Storman,1050404,2004-09-04,11252,0,790540,458781,DOB_NAME,https://www.transfermarkt.de/kv-kortrijk/kader/verein/601/saison_id/2026/plus/1,a4999f54d8da64602d94dda7998adfe30af76e24e0c684550e581e845d6cfc0c,2026-09-12,SET_CURRENT_LOAN,OWNER_CONTRACT_BEFORE_LOAN_END,"Native owner contract ends 2026-06-30, before resolved loan end 2027-06-30; no replacement contract date supplied."
FM27-e5665f7d067e734b83445291,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_TECHNICAL_PLAN_REQUIRED,"External 2026/27 research resolves this as a current loan from native owner club_id 10682378 to target club_id 458775, ending 2027-06-30. Use the project's proven active-loan start projection 2026-07-01.",,TRANSFER_TIMELINE,YES,Current loan requires owner and return-date evidence,BEL1,Oud-Heverlee Leuven,2727,Takuya Ogiwara,492730,1999-11-23,55444,242061,10682378,458775,DOB_NAME,https://www.transfermarkt.de/oud-heverlee-leuven/kader/verein/2727/saison_id/2026/plus/1,13369b1472ae4137934608499f3a290781d8b7a96223b8e0488ea6f56621495e,2026-09-12,SET_CURRENT_LOAN,OWNER_CONTRACT_BEFORE_LOAN_END,"Native owner contract ends 2026-06-30, before resolved loan end 2027-06-30; no replacement contract date supplied."
FM27-4d5cbfd5f590c3b3067dcb8e,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_TECHNICAL_PLAN_REQUIRED,"External 2026/27 research resolves this as a current loan from native owner club_id 1376263 to target club_id 471041, ending 2027-06-30. Use the project's proven active-loan start projection 2026-07-01.",,TRANSFER_TIMELINE,YES,Current loan requires owner and return-date evidence,BEL1,RAAL La Louvière,3901,Tiago Pereira Cardoso,926301,2006-04-07,279850,70904,1376263,471041,DOB_NAME,https://www.transfermarkt.de/raal-la-louviere/kader/verein/3901/saison_id/2026/plus/1,b03ed0837676e8c4516649bb0a99db01be8090988303411744be3df08ec3d3fe,2026-09-12,SET_CURRENT_LOAN,OWNER_CONTRACT_BEFORE_LOAN_END,"Native owner contract ends 2026-06-30, before resolved loan end 2027-06-30; no replacement contract date supplied."
FM27-1d3a63bc701d86b36c1f1431,ESCALATE_TECHNICAL,FOOTBALL_RESOLVED_TECHNICAL_PLAN_REQUIRED,"External 2026/27 research resolves this as a current loan from native owner club_id 2949167 to target club_id 786438, ending 2027-06-30. Use the project's proven active-loan start projection 2026-07-01.",,TRANSFER_TIMELINE,YES,Current loan requires owner and return-date evidence,CZE1,FC Slovan Liberec,697,David Hamansenya,1401055,2007-06-24,284131,0,2949167,786438,DOB_NAME,https://www.transfermarkt.de/fc-slovan-liberec/kader/verein/697/saison_id/2026/plus/1,6aba2d7156fcbb82e5f0f245492c388de338ad498bd8ff4bd953a9b7fb194317,2026-09-12,SET_CURRENT_LOAN,OWNER_CONTRACT_BEFORE_LOAN_END,"Native owner contract ends 2026-06-30, before resolved loan end 2027-06-30; no replacement contract date supplied."
